StockCode,Date,units_sold,revenue,n_invoices,units_roll_7,units_roll_14,units_roll_30,rev_roll_7,rev_roll_14,rev_roll_30,units_lag_1,units_lag_7,units_lag_14,day_of_week,day_of_month,month,quarter,is_weekend,is_dec
20725,2009-12-15,10,16.5,1,51.42857142857143,48.142857142857146,48.142857142857146,82.0,76.57857142857142,76.57857142857142,55.0,53.0,163.0,1,15,12,4,0,1
20725,2009-12-16,50,82.5,3,45.285714285714285,37.214285714285715,45.6,71.86428571428571,59.975,72.57333333333332,10.0,150.0,10.0,2,16,12,4,0,1
20725,2009-12-17,26,42.9,4,31.0,40.07142857142857,45.875,51.14999999999999,64.68928571428572,73.19375,50.0,40.0,30.0,3,17,12,4,0,1
20725,2009-12-18,40,66.0,3,29.0,39.785714285714285,44.705882352941174,47.85,64.21785714285714,71.41176470588235,26.0,31.0,70.0,4,18,12,4,0,1
20725,2009-12-19,0,0.0,0,30.285714285714285,37.642857142857146,44.44444444444444,49.97142857142857,60.68214285714286,71.11111111111111,40.0,0.0,0.0,5,19,12,4,1,1
20725,2009-12-20,40,66.0,3,30.285714285714285,37.642857142857146,42.10526315789474,49.97142857142857,60.68214285714286,67.36842105263158,0.0,31.0,26.0,6,20,12,4,1,1
20725,2009-12-21,110,161.5,2,31.571428571428573,38.642857142857146,42.0,52.09285714285714,62.332142857142856,67.3,40.0,55.0,15.0,0,21,12,4,0,1
20725,2009-12-22,0,0.0,0,39.42857142857143,45.42857142857143,45.23809523809524,62.199999999999996,72.1,71.78571428571429,110.0,10.0,53.0,1,22,12,4,0,1
20725,2009-12-23,0,0.0,0,38.0,41.642857142857146,43.18181818181818,59.84285714285714,65.85357142857143,68.52272727272727,0.0,50.0,150.0,2,23,12,4,0,1
20725,2009-12-24,0,0.0,0,30.857142857142858,30.928571428571427,41.30434782608695,48.05714285714286,49.603571428571435,65.54347826086956,0.0,26.0,40.0,3,24,12,4,0,1
20725,2009-12-25,0,0.0,0,27.142857142857142,28.071428571428573,39.583333333333336,41.92857142857143,44.88928571428572,62.8125,0.0,40.0,31.0,4,25,12,4,0,1
20725,2009-12-26,0,0.0,0,21.428571428571427,25.857142857142858,38.0,32.5,41.23571428571429,60.3,0.0,0.0,0.0,5,26,12,4,1,1
20725,2009-12-27,0,0.0,0,21.428571428571427,25.857142857142858,36.53846153846154,32.5,41.23571428571429,57.98076923076923,0.0,40.0,31.0,6,27,12,4,1,1
